"Date","variable","value","Case"
2013-10-06,"Mleaf",474.078393718659,"0"
2013-10-07,"Mleaf",478.992397573138,"0"
2013-10-08,"Mleaf",482.707999700039,"0"
2013-10-09,"Mleaf",487.215460625363,"0"
2013-10-10,"Mleaf",490.861478564268,"0"
2013-10-11,"Mleaf",491.542499043828,"0"
2013-10-12,"Mleaf",496.450387125212,"0"
2013-10-13,"Mleaf",500.230393490494,"0"
2013-10-14,"Mleaf",502.640039534952,"0"
2013-10-15,"Mleaf",508.948240591962,"0"
2013-10-16,"Mleaf",515.580116571426,"0"
2013-10-17,"Mleaf",520.184013924417,"0"
2013-10-18,"Mleaf",520.804928487789,"0"
2013-10-19,"Mleaf",526.307641594018,"0"
2013-10-20,"Mleaf",532.128768750577,"0"
2013-10-21,"Mleaf",534.350432093198,"0"
2013-10-22,"Mleaf",534.163317277772,"0"
2013-10-23,"Mleaf",532.423001485664,"0"
2013-10-24,"Mleaf",535.937720284521,"0"
2013-10-25,"Mleaf",542.935872234277,"0"
2013-10-26,"Mleaf",547.790749582093,"0"
2013-10-27,"Mleaf",554.859751503718,"0"
2013-10-28,"Mleaf",559.528379981637,"0"
2013-10-29,"Mleaf",562.071631227165,"0"
2013-10-30,"Mleaf",560.992228701402,"0"
2013-10-31,"Mleaf",568.035744081247,"0"
2013-11-01,"Mleaf",574.134124244525,"0"
2013-11-02,"Mleaf",578.442423079906,"0"
2013-11-03,"Mleaf",581.295580413986,"0"
2013-11-04,"Mleaf",582.991813485686,"0"
2013-11-05,"Mleaf",591.243736757234,"0"
2013-11-06,"Mleaf",595.620122823222,"0"
2013-11-07,"Mleaf",602.46348060828,"0"
2013-11-08,"Mleaf",606.465742678044,"0"
2013-11-09,"Mleaf",607.14809210624,"0"
2013-11-10,"Mleaf",610.25435017512,"0"
2013-11-11,"Mleaf",607.67214228027,"0"
2013-11-12,"Mleaf",608.615197645081,"0"
2013-11-13,"Mleaf",612.436910511644,"0"
2013-11-14,"Mleaf",619.727219627406,"0"
2013-11-15,"Mleaf",627.365327532174,"0"
2013-11-16,"Mleaf",631.46001566174,"0"
2013-11-17,"Mleaf",632.811883481714,"0"
2013-11-18,"Mleaf",631.370593446745,"0"
2013-11-19,"Mleaf",629.690796673618,"0"
2013-11-20,"Mleaf",638.218082051114,"0"
2013-11-21,"Mleaf",646.448335557008,"0"
2013-11-22,"Mleaf",651.941046431176,"0"
2013-11-23,"Mleaf",651.025163708158,"0"
2013-11-24,"Mleaf",656.3017352548,"0"
2013-11-25,"Mleaf",665.224154922005,"0"
2013-11-26,"Mleaf",672.281896885607,"0"
2013-11-27,"Mleaf",681.133740475006,"0"
2013-11-28,"Mleaf",689.271380407201,"0"
2013-11-29,"Mleaf",693.632044806184,"0"
2013-11-30,"Mleaf",691.434647470456,"0"
2013-12-01,"Mleaf",697.725060766395,"0"
2013-12-02,"Mleaf",705.087086562269,"0"
2013-12-03,"Mleaf",712.938518715164,"0"
2013-12-04,"Mleaf",720.765636333957,"0"
2013-12-05,"Mleaf",724.709959456085,"0"
2013-12-06,"Mleaf",732.588344158736,"0"
2013-12-07,"Mleaf",742.280306881244,"0"
2013-12-08,"Mleaf",750.682019718139,"0"
2013-12-09,"Mleaf",758.053795659972,"0"
2013-12-10,"Mleaf",758.038198388333,"0"
2013-12-11,"Mleaf",763.762164429601,"0"
2013-12-12,"Mleaf",772.192905623607,"0"
2013-12-13,"Mleaf",780.565479724077,"0"
2013-12-14,"Mleaf",788.754819552436,"0"
2013-12-15,"Mleaf",790.826780207405,"0"
2013-12-16,"Mleaf",796.754528052091,"0"
2013-12-17,"Mleaf",802.954387855511,"0"
2013-12-18,"Mleaf",811.594291169764,"0"
2013-12-19,"Mleaf",818.014895159307,"0"
2013-12-20,"Mleaf",824.107235651206,"0"
2013-12-21,"Mleaf",825.124921535941,"0"
2013-12-22,"Mleaf",832.146630095139,"0"
2013-12-23,"Mleaf",833.952574261685,"0"
2013-12-24,"Mleaf",832.788055497226,"0"
2013-12-25,"Mleaf",831.545299198343,"0"
